GEOID,NAME,metro_state,POP,DENSITY
0162075,"Powell town, Alabama","Powell, AL",967,194.8509163
0163288,"Rainbow City city, Alabama","Rainbow City, AL",9611,378.92875275
0153376,"Natural Bridge town, Alabama","Natural Bridge, AL",35,80.69784149
0159640,"Piedmont city, Alabama","Piedmont, AL",4535,461.58121965
0100988,"Albertville city, Alabama","Albertville, AL",21711,810.73139606
0177904,"Uniontown town, Alabama","Uniontown, AL",2227,146.73255554
0176632,"Toxey town, Alabama","Toxey, AL",124,181.22259345
0158968,"Pennington town, Alabama","Pennington, AL",204,103.96985655
0180256,"Waverly town, Alabama","Waverly, AL",144,52.866967858
0129392,"Geiger town, Alabama","Geiger, AL",151,159.77410666
0151000,"Montgomery city, Alabama","Montgomery, AL",198525,1241.6939952
0135152,"Hobson City town, Alabama","Hobson City, AL",755,722.00878474
0119816,"Daviston town, Alabama","Daviston, AL",210,22.989732389
0128432,"Fruithurst town, Alabama","Fruithurst, AL",280,279.9169972
0125240,"Fairhope city, Alabama","Fairhope, AL",22677,1621.4612469
0180064,"Waterloo town, Alabama","Waterloo, AL",197,263.54311269
0108248,"Bon Air town, Alabama","Bon Air, AL",110,82.90399882
0130448,"Goldville town, Alabama","Goldville, AL",54,54.792549338
0102956,"Athens city, Alabama","Athens, AL",27366,686.55462897
0134096,"Henagar city, Alabama","Henagar, AL",2363,106.10583778
0143120,"Lincoln city, Alabama","Lincoln, AL",6781,270.1859694
0112160,"Carolina town, Alabama","Carolina, AL",295,266.08356814
0103364,"Avon town, Alabama","Avon, AL",510,197.50818843
0104900,"Beatrice town, Alabama","Beatrice, AL",278,205.51077636
0141968,"Leeds city, Alabama","Leeds, AL",12040,535.50747578
0138416,"Jasper city, Alabama","Jasper, AL",13431,462.23248411
0128696,"Gadsden city, Alabama","Gadsden, AL",35000,938.13350825
0183664,"Woodville town, Alabama","Woodville, AL",723,109.17828577
0129704,"Gilbertown town, Alabama","Gilbertown, AL",193,247.68019986
0153256,"Napier Field town, Alabama","Napier Field, AL",344,1344.8370221
0164368,"Repton town, Alabama","Repton, AL",258,269.49065619
0107000,"Birmingham city, Alabama","Birmingham, AL",209403,1433.5248857
0126896,"Florence city, Alabama","Florence, AL",40797,1540.877293
0129032,"Garden City town, Alabama","Garden City, AL",501,166.52513327
0129560,"Georgiana town, Alabama","Georgiana, AL",1608,257.80344495
0145640,"McMullen town, Alabama","McMullen, AL",9,82.145346133
0115376,"Clayton town, Alabama","Clayton, AL",2847,421.01271472
0102836,"Ashford town, Alabama","Ashford, AL",2181,351.63832887
0157576,"Oxford city, Alabama","Oxford, AL",21225,668.17790092
0177784,"Union Grove town, Alabama","Union Grove, AL",79,142.02679231
0140672,"La Fayette city, Alabama","La Fayette, AL",2910,328.54226756
0118976,"Cullman city, Alabama","Cullman, AL",16034,734.22509562
0101852,"Anniston city, Alabama","Anniston, AL",21287,465.19995539
0171976,"Spanish Fort city, Alabama","Spanish Fort, AL",9214,304.85074788
0182992,"Winfield city, Alabama","Winfield, AL",4519,254.14684485
0132272,"Gulf Shores city, Alabama","Gulf Shores, AL",12757,452.78502784
0109808,"Brookwood town, Alabama","Brookwood, AL",1848,220.80030026
0142808,"Libertyville town, Alabama","Libertyville, AL",113,217.19960162
0101132,"Alexander City city, Alabama","Alexander City, AL",14317,340.9063152
0147848,NA,"NA, AL",NA,NA
0106460,"Billingsley town, Alabama","Billingsley, AL",142,120.90159384
0107672,"Blue Springs town, Alabama","Blue Springs, AL",87,30.040324053
0168160,"Saraland city, Alabama","Saraland, AL",14649,456.95552842
0104852,"Bear Creek town, Alabama","Bear Creek, AL",1068,78.370060646
0108104,"Boligee town, Alabama","Boligee, AL",280,70.880232573
0121952,"Dutton town, Alabama","Dutton, AL",314,363.41498523
0135632,"Hollywood town, Alabama","Hollywood, AL",984,110.36624018
0148712,"Millbrook city, Alabama","Millbrook, AL",15896,1133.8062142
0157048,"Opelika city, Alabama","Opelika, AL",30908,523.22950912
0157504,"Owens Cross Roads town, Alabama","Owens Cross Roads, AL",2129,257.14531253
0132704,"Haleyville city, Alabama","Haleyville, AL",4142,494.45716526
0158848,"Pelham city, Alabama","Pelham, AL",23911,615.96748171
0130160,"Glenwood town, Alabama","Glenwood, AL",183,250.3892412
0159328,"Petrey town, Alabama","Petrey, AL",56,76.330301649
0132056,"Grimes town, Alabama","Grimes, AL",556,444.69368509
0157648,"Ozark city, Alabama","Ozark, AL",14284,418.98669652
0123176,"Edwardsville town, Alabama","Edwardsville, AL",196,11.919472699
0100124,"Abbeville city, Alabama","Abbeville, AL",2560,164.70772962
0130880,"Goshen town, Alabama","Goshen, AL",255,99.545196396
0133712,"Hayneville town, Alabama","Hayneville, AL",784,421.24118605
0140096,"Kinston town, Alabama","Kinston, AL",547,111.80568971
0153856,"New Brockton town, Alabama","New Brockton, AL",1261,157.90600082
0155440,"Notasulga town, Alabama","Notasulga, AL",823,59.617488982
0146072,"Magnolia Springs town, Alabama","Magnolia Springs, AL",823,915.66462919
0122504,NA,"NA, AL",NA,NA
0149072,NA,"NA, AL",NA,NA
0171040,"Slocomb city, Alabama","Slocomb, AL",1898,200.02977067
0126200,"Five Points town, Alabama","Five Points, AL",143,138.86731112
0105212,NA,"NA, AL",NA,NA
0178120,NA,"NA, AL",NA,NA
0135392,"Hokes Bluff city, Alabama","Hokes Bluff, AL",4257,356.87254027
0128936,"Gantt town, Alabama","Gantt, AL",215,330.93380402
0179272,"Vredenburgh town, Alabama","Vredenburgh, AL",290,192.92201276
0142352,"Lester town, Alabama","Lester, AL",131,71.597585477
0133904,"Heath town, Alabama","Heath, AL",256,287.58971085
0132656,"Haleburg town, Alabama","Haleburg, AL",100,26.053960517
0145472,"McIntosh town, Alabama","McIntosh, AL",215,215.85182693
0150000,"Mobile city, Alabama","Mobile, AL",188720,1353.1726065
0107456,"Blountsville town, Alabama","Blountsville, AL",1670,308.08226325
0145208,NA,"NA, AL",NA,NA
0164104,"Reform town, Alabama","Reform, AL",1552,193.79476553
0131720,"Greensboro city, Alabama","Greensboro, AL",2268,954.08320273
0158896,"Pell City city, Alabama","Pell City, AL",14045,564.56341777
0162328,"Prattville city, Alabama","Prattville, AL",35957,1062.026362
0132416,"Guntersville city, Alabama","Guntersville, AL",8571,334.35255909
0172672,NA,"NA, AL",NA,NA
0135130,NA,"NA, AL",NA,NA
0152680,NA,"NA, AL",NA,NA
0125216,NA,"NA, AL",NA,NA
0105980,"Bessemer city, Alabama","Bessemer, AL",26472,652.98474079
0159016,NA,"NA, AL",NA,NA
0109064,NA,"NA, AL",NA,NA
0134490,NA,"NA, AL",NA,NA
0129056,"Gardendale city, Alabama","Gardendale, AL",14177,619.4883967
0134024,"Helena city, Alabama","Helena, AL",19925,977.91845603
0155152,"North Johns town, Alabama","North Johns, AL",145,713.04420306
0176944,"Trussville city, Alabama","Trussville, AL",22635,658.89305535
0120104,"Decatur city, Alabama","Decatur, AL",54445,1005.2530711
0134816,"Hillsboro town, Alabama","Hillsboro, AL",521,276.92396607
0102260,"Ardmore town, Alabama","Ardmore, AL",1463,716.30012392
0119912,"Dayton town, Alabama","Dayton, AL",46,46.085124423
0125816,"Faunsdale town, Alabama","Faunsdale, AL",92,332.09231953
0175936,"Thomaston town, Alabama","Thomaston, AL",381,189.25703587
0148808,"Millport town, Alabama","Millport, AL",980,178.41520564
0124472,"Ethelsville town, Alabama","Ethelsville, AL",73,128.74009796000001
0114008,"Chatom town, Alabama","Chatom, AL",1182,110.23651553
0159472,"Phenix City city, Alabama","Phenix City, AL",36487,1303.1818623
0181720,"Wetumpka city, Alabama","Wetumpka, AL",8371,765.55476293
0163216,"Ragland town, Alabama","Ragland, AL",1722,102.57114008
0178232,"Valley Grande city, Alabama","Valley Grande, AL",3570,106.55269878
0126848,"Florala town, Alabama","Florala, AL",1906,180.96392007
0179488,"Waldo town, Alabama","Waldo, AL",272,96.770696563
0112040,"Cardiff town, Alabama","Cardiff, AL",55,219.43471999
0160720,"Pisgah town, Alabama","Pisgah, AL",692,144.15368443
0105692,"Benton town, Alabama","Benton, AL",41,135.79603007
0104948,"Beaverton town, Alabama","Beaverton, AL",187,40.758784938
0183400,"Woodland town, Alabama","Woodland, AL",182,116.78107473
0145904,"Madrid town, Alabama","Madrid, AL",290,165.99926006
0116936,NA,"NA, AL",NA,NA
0167800,"Samson city, Alabama","Samson, AL",1854,512.42707
0123872,"Emelle town, Alabama","Emelle, AL",48,227.66540063
0153112,"Myrtlewood town, Alabama","Myrtlewood, AL",116,44.698228726
0138248,"Jacksons' Gap town, Alabama","Jacksons' Gap, AL",827,97.115202514999993
0148052,"Memphis town, Alabama","Memphis, AL",26,67.149118801
0135896,"Hoover city, Alabama","Hoover, AL",85768,1791.0957778
0133448,"Hartselle city, Alabama","Hartselle, AL",14466,880.09911725
0164656,"Ridgeville town, Alabama","Ridgeville, AL",110,134.03647371
